timestamp,channel,voltage_mv,strain_ue,stress_mpa,samples
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245456
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245457
2026-06-06T10:34:30.997698,2,0.09,9.0,1.89,245451
2026-06-06T10:34:30.997698,3,0.01,1.0,0.21,245450
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245457
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245458
2026-06-06T10:34:30.997698,2,0.09,9.0,1.89,245452
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245451
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245458
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245459
2026-06-06T10:34:30.997698,2,0.09,8.0,1.68,245453
2026-06-06T10:34:30.997698,3,0.01,1.0,0.21,245452
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245459
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245460
2026-06-06T10:34:30.997698,2,0.08,8.0,1.68,245454
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245453
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245460
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245461
2026-06-06T10:34:30.997698,2,0.08,8.0,1.68,245455
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245454
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245461
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245462
2026-06-06T10:34:30.997698,2,0.08,8.0,1.68,245456
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245455
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245462
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245463
2026-06-06T10:34:30.997698,2,0.08,8.0,1.68,245457
2026-06-06T10:34:30.997698,3,0.0,0.0,0.0,245456
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245463
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245464
2026-06-06T10:34:30.997698,2,0.09,8.0,1.68,245458
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245457
2026-06-06T10:34:30.997698,0,0.02,2.0,0.42,245464
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245465
2026-06-06T10:34:30.997698,2,0.09,8.0,1.68,245459
2026-06-06T10:34:30.997698,3,0.01,0.0,0.0,245458
2026-06-06T10:34:30.997698,0,0.02,1.0,0.21,245465
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245466
2026-06-06T10:34:30.997698,2,0.09,9.0,1.89,245460
2026-06-06T10:34:30.997698,3,0.0,0.0,0.0,245459
2026-06-06T10:34:30.997698,0,0.02,1.0,0.21,245466
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245467
2026-06-06T10:34:30.997698,2,0.09,9.0,1.89,245461
2026-06-06T10:34:30.997698,3,0.0,0.0,0.0,245460
2026-06-06T10:34:30.997698,0,0.02,1.0,0.21,245467
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245468
2026-06-06T10:34:30.997698,2,0.09,9.0,1.89,245462
2026-06-06T10:34:30.997698,3,0.0,0.0,0.0,245461
2026-06-06T10:34:30.997698,0,0.02,1.0,0.21,245468
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245469
2026-06-06T10:34:30.997698,2,0.09,8.0,1.68,245463
2026-06-06T10:34:30.997698,3,0.0,0.0,0.0,245462
2026-06-06T10:34:30.997698,0,0.02,1.0,0.21,245469
2026-06-06T10:34:30.997698,1,312.5,20000.0,4200.0,245470
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245464
2026-06-06T10:34:31.034703,3,0.01,0.0,0.0,245463
2026-06-06T10:34:31.034703,0,0.02,1.0,0.21,245470
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245471
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245465
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245464
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245471
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245472
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245466
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245465
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245472
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245473
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245467
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245466
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245473
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245474
2026-06-06T10:34:31.034703,2,0.09,8.0,1.68,245468
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245467
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245474
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245475
2026-06-06T10:34:31.034703,2,0.09,9.0,1.89,245469
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245468
2026-06-06T10:34:31.034703,0,0.02,1.0,0.21,245475
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245476
2026-06-06T10:34:31.034703,2,0.09,9.0,1.89,245470
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245469
2026-06-06T10:34:31.034703,0,0.02,1.0,0.21,245476
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245477
2026-06-06T10:34:31.034703,2,0.09,9.0,1.89,245471
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245470
2026-06-06T10:34:31.034703,0,0.02,1.0,0.21,245477
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245478
2026-06-06T10:34:31.034703,2,0.09,8.0,1.68,245472
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245471
2026-06-06T10:34:31.034703,0,0.02,1.0,0.21,245478
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245479
2026-06-06T10:34:31.034703,2,0.09,8.0,1.68,245473
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245472
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245479
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245480
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245474
2026-06-06T10:34:31.034703,3,0.01,1.0,0.21,245473
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245480
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245481
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245475
2026-06-06T10:34:31.034703,3,0.01,0.0,0.0,245474
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245481
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245482
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245476
2026-06-06T10:34:31.034703,3,0.01,0.0,0.0,245475
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245482
2026-06-06T10:34:31.034703,1,312.5,20000.0,4200.0,245483
2026-06-06T10:34:31.034703,2,0.08,8.0,1.68,245477
2026-06-06T10:34:31.034703,3,0.01,0.0,0.0,245476
2026-06-06T10:34:31.034703,0,0.02,2.0,0.42,245483
