timestamp,channel,voltage_mv,strain_ue,stress_mpa,raw_value,telemetry_mode,config_sequence,samples
2026-06-06T12:28:18.242285,1,0.0,0.0,0.0,,1,24,387
2026-06-06T12:28:18.242285,5,0.0,0.0,0.0,,1,24,387
2026-06-06T12:28:18.242285,2,-0.001,0.0,0.0,,1,24,388
2026-06-06T12:28:18.242285,6,0.0,0.0,0.0,,1,24,388
2026-06-06T12:28:18.242285,3,0.001,0.0,0.0,,1,24,389
2026-06-06T12:28:18.242285,7,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,0,0.0,0.0,0.0,,1,24,388
2026-06-06T12:28:18.302797,4,0.0,0.0,0.0,,1,24,388
2026-06-06T12:28:18.302797,1,0.0,0.0,0.0,,1,24,388
2026-06-06T12:28:18.302797,5,0.0,0.0,0.0,,1,24,388
2026-06-06T12:28:18.302797,2,-0.001,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,6,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,3,0.001,0.0,0.0,,1,24,390
2026-06-06T12:28:18.302797,7,0.0,0.0,0.0,,1,24,390
2026-06-06T12:28:18.302797,0,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,4,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,1,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.302797,5,0.0,0.0,0.0,,1,24,389
2026-06-06T12:28:18.341797,2,-0.001,0.0,0.0,,1,24,390
2026-06-06T12:28:18.341797,6,0.001,0.0,0.0,,1,24,390
2026-06-06T12:28:18.341797,3,0.001,0.0,0.0,,1,24,391
2026-06-06T12:28:18.341797,7,0.0,0.0,0.0,,1,24,391
2026-06-06T12:28:18.341797,0,0.0,0.0,0.0,,1,24,390
2026-06-06T12:28:18.341797,4,0.0,0.0,0.0,,1,24,390
2026-06-06T12:28:18.371801,1,0.0,0.0,0.0,,1,24,390
2026-06-06T12:28:18.371801,5,0.0,0.0,0.0,,1,24,390
2026-06-06T12:28:18.371801,2,-0.001,0.0,0.0,,1,24,391
2026-06-06T12:28:18.371801,6,0.001,0.0,0.0,,1,24,391
2026-06-06T12:28:18.371801,3,0.0,0.0,0.0,,1,24,392
2026-06-06T12:28:18.371801,7,0.0,0.0,0.0,,1,24,392
2026-06-06T12:28:18.371801,0,0.0,0.0,0.0,,1,24,391
2026-06-06T12:28:18.371801,4,0.0,0.0,0.0,,1,24,391
2026-06-06T12:28:18.371801,1,0.0,0.0,0.0,,1,24,391
